user,tweet
mba_diahworo,"Memang  ya, utk melakukan perubahan dibutuhkan kerjasama berbagai pihak. Kita Ga bisa hanya mengandalkan pemerintah saja dan cuma sibuk protes atau mengeluh kalau terjadi banjir dan longsor. Padahal ada ulah kita-kita juga yg harus direm!"
mba_diahworo,"Lantas gimana dengan daerah lain yg rawan banjir dan longsor? 

Saat ini KLHK sedang menyiapkan dua lokasi persemaian di Kalimantan Timur dan Sumatera Utara https://t.co/EXVcNxqPNJ"
mba_diahworo,Jadi rencananya bibit bibit unggul yang diproduksi digunakan utk mengurangi risiko bencana. Nantinya akan ditanam di tempat-tempat yang sering banjir dan longsor di daerah Jawa Barat terutama
mba_diahworo,"Nah pada ga ngeh kan kalau bencana banjir dan longsor yg sering terjadi itu akibat dr perubahan iklim makanya harus ditangani dari hulu ke hilir. Presiden Jokowi mengatakan, pendekatan kita bukan hanya ke pendekatan fisik saja, bangunan fisik saja, tapi pendekatan vegetatif https://t.co/961xIUUlxN"
GumilsArt,NTB banjir + longsor https://t.co/tOA4tzpR1H
boedjenk,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Seksama1,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Soemir28,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
operiatna,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
yuniarinukti,"Sebagai pusat Persemaian Modern, Pemerintah sudah menyiapkan fasilitas agar bibit unggul ini pertumbuhannya dimaksimalkan supaya segera dapat ditanamkan di lahan kritis yang sering terdampak banjir dan longsor https://t.co/yEBLIsozHE"
ismaileko_,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
muchtarsp,"RT @sudjiwotedjo: @DonAdam68 Bencana? ITB jangan ikut mindset salah kaprah. Erupsi gunung, longsor, banjir dll hanyalah ayat2/Sabda cara al…"
cyber_army8,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Razis77498534,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
sirojpr,"RT @Budionotaslim3: @Gojekmilitan Tuhan sdh bosan melihat tingkah laku manusia yg bangga dgn dosa2,maka jgn kaget klo Tuhan marah menurunka…"
zoel_dmq,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Gojekmilitan,"RT @Budionotaslim3: @Gojekmilitan Tuhan sdh bosan melihat tingkah laku manusia yg bangga dgn dosa2,maka jgn kaget klo Tuhan marah menurunka…"
Budionotaslim3,"@Gojekmilitan Tuhan sdh bosan melihat tingkah laku manusia yg bangga dgn dosa2,maka jgn kaget klo Tuhan marah menurunkan musibah banjir bandang, gempa bumi,air laut meluber,tanah longsor,kasian rakyat yg tdk tahu menahu kena dampak musibah tsb"
Masigit17,"Bencana bertubi-tubi di berbagai penjuru nusantara.. 
Banjir bandang, longsor, erupsi gunung berapi, puting beliung, hingga banjir di sudut2 kota.. 
Moga jadi tadzkirah bagi kita smua. Wahai penguasa &amp; wakil rakyat, janganlah engkau khianat atas amanat agar tiada dilaknat.. https://t.co/rLelSiwicF"
yuniarinukti,"Efek banjir yang lain adalah curah hujan yang tinggi dengan durasi yang lama. Sampai beberapa waktu lalu ada tebing 40 meter di Rumpin  longsor dan pemerintah setempat mengimbau warganya ngungsi

Foto: google https://t.co/5m308pCecS"
